Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Cycling,01-08-19 0:36,FALSE,Washington Cycling,1.1,89,0:15:28,92,105,0.2,--,--,4.3,20.3,33,49,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,31-07-19 15:08,FALSE,Washington Cycling,1.03,49,06:04.6,103,120,0.3,--,--,10.1,22.4,52,20,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,31-07-19 1:45,FALSE,Washington Cycling,0.93,38,05:27.6,97,113,0.2,--,--,10.2,20.4,30,52,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,30-07-19 15:00,FALSE,Washington Cycling,1.02,35,06:53.0,86,101,0.1,--,--,8.9,22.6,62,26,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,29-07-19 22:36,FALSE,Washington Cycling,2.11,88,0:14:54,92,111,0.3,--,--,8.5,16.3,62,39,0,0,0,0,0,0,0:00,86,0:00,No,00:00.0,1,0
Cycling,29-07-19 15:51,FALSE,Washington Cycling,1.47,68,0:10:36,94,114,0.3,--,--,8.3,16.5,33,59,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,28-07-19 22:03,FALSE,Washington Cycling,1.98,88,0:17:11,87,109,0.2,--,--,6.9,15.4,62,39,0,0,0,0,0,0,0:00,86,0:00,No,00:00.0,1,0
Cycling,28-07-19 15:52,FALSE,Washington Cycling,2.05,94,0:10:50,108,137,0.7,--,--,11.3,19.2,46,66,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,28-07-19 4:21,FALSE,Washington Cycling,0.63,49,04:45.0,113,133,0.5,--,--,7.9,25.3,23,52,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,27-07-19 15:11,FALSE,Washington Cycling,0.42,23,03:24.3,97,114,0.1,--,--,7.3,13.4,20,3,0,0,0,0,0,0,0:00,87.8,0:00,No,00:00.0,1,0
Running,27-07-19 11:44,FALSE,Washington Running,2.26,317,0:23:21,135,148,2.6,155,163,10:21,8:56,167,102,1,0,0,0,0,0,0:00,87.8,0:00,No,02:51.3,3,0
Cycling,26-07-19 21:29,FALSE,Washington Cycling,2.29,79,0:17:35,83,107,0.2,--,--,7.8,15.9,52,43,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,26-07-19 15:53,FALSE,Washington Cycling,1.68,112,0:11:00,117,168,1.4,--,--,9.2,20.9,56,62,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,25-07-19 22:53,FALSE,Washington Cycling,2.15,112,0:17:20,95,127,0.5,--,--,7.5,16.2,69,39,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,25-07-19 15:52,FALSE,Washington Cycling,2.05,99,0:11:47,104,133,0.8,--,--,10.4,22.5,49,82,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,25-07-19 14:34,FALSE,Washington Cycling,0.76,74,0:13:38,88,116,0.3,--,--,3.3,12.4,66,20,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,25-07-19 13:59,FALSE,Washington Cycling,0.19,76,0:12:39,91,131,0.4,--,--,0.9,8.3,10,39,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,24-07-19 23:47,FALSE,Washington Cycling,0.99,51,05:20.6,110,124,0.5,--,--,11.1,18.8,30,56,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,24-07-19 18:24,FALSE,Washington Cycling,0.94,68,06:26.4,115,131,0.7,--,--,8.7,26.4,59,13,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,23-07-19 23:13,FALSE,Washington Cycling,2.23,105,0:16:05,96,121,0.4,--,--,8.3,17.1,66,43,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,23-07-19 15:55,FALSE,Washington Cycling,1.98,118,0:11:43,115,128,0.9,--,--,10.1,19,46,72,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,22-07-19 15:58,FALSE,Washington Cycling,0.88,58,08:37.0,96,130,0.3,--,--,6.1,19.5,43,30,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Running,19-07-19 19:06,FALSE,Washington Running,2.12,286,0:19:12,144,160,3,164,179,9:03,7:44,154,128,1.08,0,0,0,0,0,0:00,89.6,0:00,No,00:52.0,3,0
Cycling,18-07-19 14:10,FALSE,Washington Cycling,1.49,100,0:15:13,96,126,0.4,--,--,5.9,13.8,49,108,0,0,0,0,0,0,0:00,86,0:00,No,00:00.0,1,0
Cycling,18-07-19 12:15,FALSE,Washington Cycling,1.39,132,0:19:41,97,124,0.6,--,--,4.2,15,98,33,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Running,17-07-19 19:54,FALSE,Washington Running,2.83,407,0:31:26,134,157,2.6,153,168,11:07,4:18,167,164,0.95,0,0,0,0,0,0:00,78.8,0:00,No,08:52.9,3,0
Running,16-07-19 17:33,FALSE,Washington Running,2.81,397,0:32:46,138,178,3.2,101,174,11:40,7:05,174,105,2.03,0,0,0,0,0,0:00,80.6,0:00,No,08:48.2,3,0
Cycling,15-07-19 23:06,FALSE,Washington Cycling,1.96,118,0:13:00,109,136,0.8,--,--,9.1,21.7,52,36,0,0,0,0,0,0,0:00,86,0:00,No,00:00.0,1,0
Cycling,15-07-19 15:48,FALSE,Washington Cycling,1.81,135,09:48.1,136,163,2.1,--,--,11.1,20,39,72,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,14-07-19 21:49,FALSE,Washington Cycling,2.13,164,0:17:00,113,130,1.1,--,--,7.5,16.5,59,43,0,0,0,0,0,0,0:00,86,0:00,No,00:00.0,1,0
Cycling,14-07-19 15:49,FALSE,Washington Cycling,1.34,62,06:25.8,110,131,0.6,--,--,12.5,22.3,30,36,0,0,0,0,0,0,0:00,93.2,0:00,No,00:00.0,1,0
Cycling,14-07-19 1:10,FALSE,Washington Cycling,2.18,167,0:15:24,118,140,1.6,--,--,8.5,16.7,62,36,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,13-07-19 15:48,FALSE,Washington Cycling,1.65,124,0:11:20,119,135,1.2,--,--,8.7,19.2,52,79,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,12-07-19 22:59,FALSE,Washington Cycling,2.27,138,0:17:58,103,127,0.6,--,--,7.6,15.9,66,46,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,12-07-19 16:18,FALSE,Washington Cycling,1.64,86,0:10:10,107,131,0.5,--,--,9.7,19.6,49,75,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Running,11-07-19 20:23,FALSE,Running,2.1,299,0:19:56,143,161,3,158,175,9:31,8:56,151,118,1.07,0,0,0,0,0,0:00,77,0:00,No,00:53.3,3,0
Cycling,11-07-19 15:19,FALSE,Washington Cycling,2.17,126,0:15:30,104,141,0.8,--,--,8.4,24.9,36,135,0,0,0,0,0,0,0:00,87.8,0:00,No,00:00.0,1,0
Cycling,11-07-19 14:12,FALSE,Washington Cycling,2.39,229,0:30:05,104,140,1.4,--,--,4.8,17.7,151,30,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,10-07-19 18:27,FALSE,Washington Cycling,0.36,78,06:28.2,124,144,1.1,--,--,3.4,18.1,36,3,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Running,10-07-19 15:35,FALSE,Running,1.12,165,0:10:58,142,151,2.4,160,174,9:45,9:06,82,43,1.03,0,0,0,0,0,0:00,86,0:00,No,01:09.8,2,0
Running,09-07-19 18:29,FALSE,Running,1.63,255,0:15:55,149,169,3,157,169,9:47,9:15,125,75,1.04,0,0,0,0,0,0:00,80.6,0:00,No,06:00.1,2,0
Cycling,09-07-19 8:31,FALSE,Washington Cycling,0.67,48,05:08.5,110,150,0.6,--,--,7.9,12.8,33,20,0,0,0,0,0,0,0:00,77,0:00,No,00:00.0,1,0
Cycling,09-07-19 7:36,FALSE,Washington Cycling,1.17,58,08:32.0,95,122,0.4,--,--,8.2,16.3,16,56,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,08-07-19 12:21,FALSE,Washington Cycling,2.26,170,0:15:34,118,139,1.6,--,--,8.7,16.7,154,62,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,07-07-19 21:03,FALSE,Washington Cycling,0.74,131,0:14:45,108,147,0.8,--,--,3,15.6,46,20,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,07-07-19 15:57,FALSE,Washington Cycling,1.97,131,0:11:09,122,143,1.5,--,--,10.6,19.7,49,59,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Running,07-07-19 13:16,FALSE,Running,2.08,312,0:19:57,147,170,3.1,162,177,9:35,8:59,157,115,1.04,0,0,0,0,0,0:00,87.8,0:00,No,00:45.8,3,0
Cycling,07-07-19 3:09,FALSE,Washington Cycling,0.82,24,04:19.9,87,115,0.1,--,--,11.4,22.1,23,46,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,06-07-19 14:54,FALSE,Washington Cycling,1.02,61,06:43.0,108,134,0.5,--,--,9.1,20.1,49,26,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,06-07-19 11:41,FALSE,Washington Cycling,1.52,78,0:10:11,102,127,0.4,--,--,9,18,30,49,0,0,0,0,0,0,0:00,89.6,0:00,No,00:00.0,1,0
Cycling,06-07-19 10:18,FALSE,Washington Cycling,1.16,79,08:28.5,110,129,0.6,--,--,8.2,16.5,23,20,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,06-07-19 0:28,FALSE,Washington Cycling,2.22,111,0:14:55,100,120,0.5,--,--,8.9,17.8,72,39,0,0,0,0,0,0,0:00,86,0:00,No,00:00.0,1,0
Cycling,05-07-19 15:51,FALSE,Washington Cycling,1.74,134,0:11:06,124,142,1.7,--,--,9.4,21,52,72,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,04-07-19 16:38,FALSE,Washington Cycling,0.71,51,04:14.6,123,131,0.7,--,--,10,16.3,26,20,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,04-07-19 15:11,FALSE,Washington Cycling,0.64,31,04:36.2,95,113,0.1,--,--,8.3,18.5,3,30,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,04-07-19 3:34,FALSE,Washington Cycling,0.64,23,03:03.2,100,112,0.1,--,--,12.6,20.2,23,36,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,03-07-19 18:27,FALSE,Washington Cycling,0.35,63,06:00.2,116,142,0.6,--,--,3.5,19.7,43,--,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,01-07-19 20:05,FALSE,Washington Cycling,0.98,49,08:23.9,90,111,0.1,--,--,7,20.6,26,49,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,01-07-19 19:52,FALSE,Washington Cycling,0.58,50,06:22.1,102,113,0.3,--,--,5.4,16.4,36,13,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,30-06-19 18:06,FALSE,Washington Cycling,0.54,40,04:31.1,107,119,0.3,--,--,7.2,14.9,33,3,0,0,0,0,0,0,0:00,93.2,0:00,No,00:00.0,1,0
Cycling,30-06-19 16:43,FALSE,Washington Cycling,0.72,24,03:51.0,93,114,0.1,--,--,11.2,18.2,7,39,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,30-06-19 14:40,FALSE,Washington Cycling,3.12,194,0:25:38,104,123,0.6,--,--,7.3,19.7,102,72,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,30-06-19 12:50,FALSE,Washington Cycling,2.11,108,0:15:43,98,120,0.4,--,--,8,21.2,43,75,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,30-06-19 4:08,FALSE,Washington Cycling,0.99,44,05:25.4,102,126,0.3,--,--,11,19.3,20,52,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,29-06-19 18:26,FALSE,Washington Cycling,0.58,38,05:42.2,96,114,0.1,--,--,6.1,17.8,43,16,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Running,29-06-19 15:10,FALSE,Washington Running,1.95,310,0:19:09,152,167,3.2,164,178,9:48,7:27,151,135,1,0,0,0,0,0,0:00,86,0:00,No,08:50.3,2,0
Cycling,29-06-19 0:34,FALSE,Washington Cycling,2.32,135,0:18:16,101,125,0.5,--,--,7.6,15.1,69,36,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,28-06-19 15:49,FALSE,Washington Cycling,1.79,109,0:12:36,107,140,0.6,--,--,8.5,19,49,79,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,27-06-19 20:25,FALSE,Washington Cycling,0.73,46,05:03.5,107,126,0.4,--,--,8.7,18.9,33,43,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,27-06-19 18:55,FALSE,Washington Cycling,0.1,52,05:29.5,109,139,0.6,--,--,1.1,13.3,20,--,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,27-06-19 13:20,FALSE,Washington Cycling,0.65,44,06:06.4,97,124,0.3,--,--,6.4,12.4,43,16,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,27-06-19 12:54,FALSE,Washington Cycling,0.17,30,04:09.8,97,125,0.2,--,--,2.4,13.6,13,46,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,26-06-19 21:41,FALSE,Washington Cycling,0.61,47,05:35.1,104,123,0.3,--,--,6.6,20,20,56,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,26-06-19 15:34,FALSE,Washington Cycling,0.67,63,07:00.9,108,134,0.5,--,--,5.7,12.5,36,13,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,25-06-19 12:16,FALSE,Washington Cycling,0.85,73,09:21.5,103,131,0.4,--,--,5.4,15.4,20,52,0,0,0,0,0,0,0:00,84.2,0:00,No,00:00.0,1,0
Cycling,24-06-19 11:02,FALSE,Washington Cycling,1.56,104,0:14:01,101,122,0.6,--,--,6.7,14.3,49,23,0,0,0,0,0,0,0:00,89.6,0:00,No,00:00.0,1,0
Cycling,24-06-19 8:02,FALSE,Washington Cycling,1.84,106,0:10:49,113,129,1,--,--,10.2,21,39,56,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,23-06-19 22:39,FALSE,Washington Cycling,2.17,59,0:14:22,80,99,0.1,--,--,9.1,15.9,59,30,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,23-06-19 15:59,FALSE,Washington Cycling,1.78,75,0:11:18,96,129,0.4,--,--,9.4,21.4,46,85,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,23-06-19 3:10,FALSE,Washington Cycling,0.83,116,0:13:43,108,136,0.7,--,--,3.6,22.8,30,13,0,0,0,0,0,0,0:00,73.4,0:00,No,00:00.0,1,0
Cycling,22-06-19 15:56,FALSE,Washington Cycling,1.68,74,09:22.0,103,139,0.6,--,--,10.8,21.4,49,72,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,21-06-19 22:24,FALSE,Washington Cycling,1.38,128,0:17:19,102,141,0.8,--,--,4.8,13.5,49,26,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Cycling,21-06-19 13:51,FALSE,Washington Cycling,2.01,63,0:10:35,92,123,0.3,--,--,11.4,19.3,46,75,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Cycling,08-01-19 8:44,FALSE,Washington Cycling,1.04,94,0:10:43,108,127,0.5,--,--,5.8,16.6,23,46,0,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Treadmill Running,07-01-19 21:08,FALSE,Treadmill Running,2,242,0:15:22,149,160,2.8,167,179,7:41,4:46,--,--,1.24,0,0,0,0,0,0:00,77,0:00,No,00:00.0,2,0
Cycling,07-01-19 9:02,FALSE,Washington Cycling,0.6,54,06:20.5,105,121,0.3,--,--,5.7,16.5,26,49,0,0,0,0,0,0,0:00,71.6,0:00,No,00:00.0,1,0
Indoor Cycling,05-01-19 20:41,FALSE,Indoor Cycling,0,207,0:24:53,108,149,0.7,--,--,--,--,--,--,0,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,1,0
Elliptical,05-01-19 20:02,FALSE,Elliptical,0,487,0:35:27,136,175,3,120,244,--,--,--,--,0,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Cycling,04-01-19 19:44,FALSE,Washington Cycling,0.98,93,0:11:45,104,130,0.4,--,--,5,14.2,75,30,0,0,0,0,0,0,0:00,73.4,0:00,No,00:00.0,2,0
Cycling,03-01-19 19:36,FALSE,Washington Cycling,1.49,147,0:12:55,122,143,1.3,--,--,6.9,13,23,49,0,0,0,0,0,0,0:00,69.8,0:00,No,00:00.0,1,0
Cycling,03-01-19 18:41,FALSE,Washington Cycling,1.66,111,0:10:58,114,138,0.9,--,--,9.1,18.8,49,10,0,0,0,0,0,0,0:00,69.8,0:00,No,00:00.0,1,0
Cycling,03-01-19 8:28,FALSE,Washington Cycling,1.04,78,08:21.1,110,130,0.5,--,--,7.5,18.7,26,49,0,0,0,0,0,0,0:00,69.8,0:00,No,00:00.0,1,0
Cycling,02-01-19 8:18,FALSE,Washington Cycling,0.95,54,06:15.7,106,125,0.3,--,--,9.1,18.1,26,46,0,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Running,01-01-19 12:17,FALSE,Washington Running,2.8,368,0:24:34,145,161,3,165,181,8:46,7:10,184,197,1.11,0,0,0,0,0,0:00,68,0:00,No,00:00.0,3,0
Treadmill Running,30-12-18 16:29,FALSE,Treadmill Running,2,228,0:15:18,142,154,2.5,171,179,7:40,4:43,--,--,1.23,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,2,0
Treadmill Running,28-12-18 17:01,FALSE,Treadmill Running,2.01,234,0:15:05,147,163,2.7,174,181,7:31,4:40,--,--,1.23,0,0,0,0,0,0:00,73.4,0:00,No,00:00.0,3,0
Treadmill Running,27-12-18 14:07,FALSE,Treadmill Running,3.01,353,0:22:38,148,161,3.1,174,179,7:31,5:40,--,--,1.24,0,0,0,0,0,0:00,73.4,0:00,No,00:00.0,4,0
Treadmill Running,26-12-18 13:44,FALSE,Treadmill Running,3,357,0:22:48,149,161,3.1,173,179,7:36,7:50,--,--,1.06,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,3,0
Running,25-12-18 14:57,FALSE,Shawnee Running,4.02,568,0:36:37,153,170,3.5,166,176,9:06,7:10,249,253,1.07,0,0,0,0,0,0:00,57.2,0:00,No,00:00.0,5,0
Treadmill Running,24-12-18 13:38,FALSE,Treadmill Running,2.06,243,0:15:31,149,161,2.8,171,177,7:32,7:01,--,--,1.25,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,3,0
Treadmill Running,22-12-18 22:13,FALSE,Treadmill Running,2.01,239,0:15:29,147,168,2.9,167,173,7:42,5:36,--,--,1.25,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,3,0
Indoor Cycling,21-12-18 23:51,FALSE,Indoor Cycling,0,281,0:35:31,106,132,1.1,--,--,--,--,--,--,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,21-12-18 9:28,FALSE,Washington Cycling,0.99,62,05:58.1,115,129,0.6,--,--,9.9,16.5,23,39,0,0,0,0,0,0,0:00,80.6,0:00,No,00:00.0,1,0
Treadmill Running,20-12-18 21:26,FALSE,Treadmill Running,2,264,0:15:17,164,177,3.3,169,175,7:38,7:26,--,--,1.2,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,2,0
Treadmill Running,19-12-18 21:28,FALSE,Treadmill Running,1.96,253,0:15:21,157,164,3.1,169,177,7:51,5:34,--,--,1.22,0,0,0,0,0,0:00,78.8,0:00,No,00:00.0,2,0
Cycling,19-12-18 19:37,FALSE,Washington Cycling,0.42,47,04:58.8,110,136,0.4,--,--,5.1,11.5,46,--,0,0,0,0,0,0,0:00,69.8,0:00,No,00:00.0,1,0
Cycling,19-12-18 8:46,FALSE,Washington Cycling,1.13,106,0:11:31,110,131,0.8,--,--,5.9,19.2,33,46,0,0,0,0,0,0,0:00,73.4,0:00,No,00:00.0,1,0
Cycling,18-12-18 8:57,FALSE,Washington Cycling,1,58,06:58.1,103,128,0.5,--,--,8.6,16.9,30,49,0,0,0,0,0,0,0:00,68,0:00,No,00:00.0,1,0
Elliptical,17-12-18 22:34,FALSE,Elliptical,0,343,0:27:12,130,161,3.2,94,158,--,--,--,--,0,0,0,0,0,0,0:00,82.4,0:00,No,00:00.0,1,0
Cycling,17-12-18 8:48,FALSE,Washington Cycling,0.62,80,0:10:17,102,127,0.5,--,--,3.6,19.7,26,39,0,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Treadmill Running,16-12-18 18:40,FALSE,Treadmill Running,2.01,250,0:16:23,144,162,3.1,165,171,8:09,7:58,--,--,1.13,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,2,0
Treadmill Running,15-12-18 22:48,FALSE,Treadmill Running,2.05,258,0:17:37,140,153,3,164,175,8:35,7:18,--,--,1.25,0,0,0,0,0,0:00,77,0:00,No,00:00.0,3,0
Elliptical,14-12-18 21:23,FALSE,Elliptical,0,493,0:35:21,139,169,3.3,129,170,--,--,--,--,0,0,0,0,0,0,0:00,75.2,0:00,No,00:00.0,1,0
Treadmill Running,13-12-18 21:23,FALSE,Treadmill Running,0.99,131,07:58.3,157,171,2.6,166,191,8:04,7:02,--,--,1.2,0,0,0,0,0,0:00,73.4,0:00,No,00:00.0,1,0
